U+8525,蔥
U+852B,蔫
U+8534,蔴
U+853E,蔾
U+854F,蕏
U+8551,蕑
U+8553,蕓
U+855E,蕞
U+8561,蕡
U+8562,蕢
U+856F,蕯
U+857B,蕻
U+857D,蕽
U+857F,蕿
U+8581,薁
U+8586,薆
U+8593,薓
U+859D,薝
U+859F,薟
U+85B7,薷
U+85BC,薼
U+85C7,藇
U+85CA,藊
U+85D8,藘
U+85D9,藙
U+85DF,藟
U+85E1,藡
U+85E6,藦
U+85F6,藶
U+8600,蘀
U+8611,蘑
U+861E,蘞
U+8621,蘡
U+8624,蘤
U+8627,蘧
U+8639,蘹
U+863C,蘼
U+8640,虀
U+8653,虓
U+8656,虖
U+866F,虯
U+8677,虷
U+867A,虺
U+8687,蚇
U+8689,蚉
U+868D,蚍
