U+9C77,鱷
U+9D1D,鴝
U+9D1E,鴞
U+9D43,鵃
U+9D47,鵇
U+9D52,鵒
U+9D63,鵣
U+9D70,鵰
U+9D7C,鵼
U+9D8A,鶊
U+9D96,鶖
U+9DAC,鶬
U+9DBC,鶼
U+9DC0,鷀
U+9DD7,鷗
U+9DE7,鷧
U+9E07,鸇
U+9E15,鸕
U+9E7C,鹼
U+9E9E,麞
U+9EA4,麤
U+9EAC,麬
U+9EAF,麯
U+9EB4,麴
U+9EB5,麵
U+9EC3,黃
U+9ED1,黑
U+9F10,鼐
U+9F39,鼹
U+9F57,齗
U+9F90,龐
U+9F94,龔
U+9F97,龗
U+9FA2,龢
U+F91D,欄
U+F928,廊
U+F929,朗
U+F936,虜
U+F970,殺
U+F9D0,類
U+F9DC,隆
U+FA0F,﨏
U+FA10,塚
U+FA11,﨑
U+FA14,﨔
U+FA15,凞
U+FA16,猪
U+FA19,神
U+FA1A,祥
U+FA1B,福
U+FA1F,﨟
U+FA22,諸
U+FA26,都
U+FA30,侮
U+FA31,僧
U+FA32,免
U+FA33,勉
U+FA34,勤
U+FA35,卑
U+FA36,喝
U+FA37,嘆
U+FA38,器
U+FA39,塀
U+FA3A,墨
U+FA3B,層
U+FA3C,屮
U+FA3D,悔
U+FA3E,慨
U+FA3F,憎
U+FA40,懲
U+FA41,敏
U+FA42,既
U+FA43,暑
U+FA44,梅
U+FA45,海
U+FA46,渚
U+FA47,漢
U+FA48,煮
U+FA4A,琢
U+FA4B,碑
U+FA4C,社
U+FA4D,祉
U+FA4E,祈
U+FA4F,祐
U+FA50,祖
U+FA51,祝
U+FA52,禍
U+FA53,禎
U+FA54,穀
U+FA55,突
U+FA56,節
U+FA57,練
U+FA59,繁
U+FA5A,署
U+FA5B,者
U+FA5C,臭
U+FA5F,著
U+FA60,褐
U+FA61,視
U+FA62,謁
U+FA63,謹
U+FA64,賓
U+FA65,贈
U+FA67,逸
U+FA68,難
U+FA69,響
U+FA6A,頻
U+2000B,𠀋
U+20B9F,𠮟
U+2123D,𡈽
U+2131B,𡌛
U+2146E,𡑮
U+216B4,𡚴
U+218BD,𡢽
U+21E34,𡸴
U+231C4,𣇄
U+235C4,𣗄
U+2373F,𣜿
U+23763,𣝣
U+23CFE,𣳾
U+247F1,𤟱
U+2548E,𥒎
U+2550E,𥔎
U+25771,𥝱
U+259C4,𥧄
U+25DA1,𥶡
U+26AFF,𦫿
U+26E40,𦹀
U+270F4,𧃴
U+27684,𧚄
U+28277,𨉷
U+283CD,𨏍
U+2A190,𪆐
